Product Name,Details,Product Category,Reference,Related Products
6 Piece Tempura and Stir Fry Gift Set with 12" Non-Stick Wok ,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]6 Piece Tempura and Stir Fry Gift Set with 12" Non-Stick Wok &nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="Asian" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref">100-001025</div>,Asian,100-001025,
12" Non-Stick Carbon Steel Wok with Wood Handle,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]12" Non-Stick Carbon Steel Wok with Wood Handle&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
Half Moon Tray,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Half Moon Tray&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
13" Cooking Chopsticks,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]13" Cooking Chopsticks&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
12" Food Tongs,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]12" Food Tongs&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
12" Cooking Spoon/Paddle,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]12" Cooking Spoon/Paddle&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
12" Cooking Solid Turner,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]12" Cooking Solid Turner&nbsp;<strong>Product Details</strong><div class="prod-det">Other Asian Products</div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
Non-stick Wok ,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Non-stick Wok &nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
9.5" / 11",<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]9.5" / 11"&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="Asian" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref">IMU-52006</div>,Asian,IMU-52006,
IMU-52008,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]IMU-52008&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="Available in 2 Sizes:  9.5" / 11" Cooking Surface" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,Available in 2 Sizes:  9.5" / 11" Cooking Surface,,
Non-Stick Coating ,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Non-Stick Coating &nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
Made of Carbon Steel,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Made of Carbon Steel&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
Bakelite Handle,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Bakelite Handle&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
1.2mm Thickness,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]1.2mm Thickness&nbsp;<strong>Product Details</strong><div class="prod-det">Other Asian Products</div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
Natural Wok with Wood Handle,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Natural Wok with Wood Handle&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
12" / 14",<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]12" / 14"&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="Asian" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref">WIMU-52007</div>,Asian,WIMU-52007,
WPAN-10018,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]WPAN-10018&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="Available in 2 Sizes:  12" / 14" Cooking Surface" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,Available in 2 Sizes:  12" / 14" Cooking Surface,,
Natural Finish ,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Natural Finish &nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
Made of Carbon Steel,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Made of Carbon Steel&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
Wood Handle,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Wood Handle&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
1.2mm Thickness (12") & 1.5mm Thickness (14"),<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]1.2mm Thickness (12") & 1.5mm Thickness (14")&nbsp;<strong>Product Details</strong><div class="prod-det">Other Asian Products</div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
3 Piece Bamboo Cooking Tools Set ,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]3 Piece Bamboo Cooking Tools Set &nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="Asian" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref">WPAN-10011</div>,Asian,WPAN-10011,
Made of Bamboo,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Made of Bamboo&nbsp;<strong>Product Details</strong><div class="prod-det">Other Asian Products</div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
Bamboo Cooking Chopsticks  13",<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Bamboo Cooking Chopsticks  13"&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="Asian" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref">WPAN-10012</div>,Asian,WPAN-10012,
13",<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]13"&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
Made of Bamboo,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Made of Bamboo&nbsp;<strong>Product Details</strong><div class="prod-det">Other Asian Products</div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
12 Pack Bamboo Chopsticks 10.5",<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]12 Pack Bamboo Chopsticks 10.5"&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="Asian" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref">WPAN-10013</div>,Asian,WPAN-10013,
10.5",<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]10.5"&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
Made of Bamboo,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Made of Bamboo&nbsp;<strong>Product Details</strong><div class="prod-det">Other Asian Products</div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
Asian Bamboo Steamer 10" ,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Asian Bamboo Steamer 10" &nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="Asian" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref">WPAN-10015</div>,Asian,WPAN-10015,
Made of Bamboo,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]Made of Bamboo&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
2 Layers,<img class="alignnone size-full" title="coffee" src="#PhotoURL#" alt="" width="440" height="330" />[tabs tab1="Description" tab2="Recipes" tab3="Use &amp; Care"][tab id=1]2 Layers&nbsp;<strong>Product Details</strong><div class="prod-det"></div>[/tab][tab id=2][display-posts tag="" image_size="thumbnail"][/tab][tab id=3][/tab][/tabs]<div class="product-ref"></div>,,,
