Product Name|Product Category|Project Image|Description|Reference|Product Details|Recipe|Use & Care|Related Products|prodNO
Product Name|Product Category|Project Image|Description|Reference|Product Details|Recipe|Use & Care|Related Products|prodNO
6 Piece Tempura and Stir Fry Gift Set with 12" Non-Stick Wok |Asian|||100-001025|Set Includes:<br>12" Non-Stick Carbon Steel Wok with Wood Handle<br>Half Moon Tray<br>13" Cooking Chopsticks<br>12" Food Tongs<br>12" Cooking Spoon/Paddle<br>12" Cooking Solid Turner|||Other Asian Products|product1
Non-stick Wok  9.5" / 11"|Asian|||IMU-52006<br>IMU-52008|Available in 2 Sizes:  9.5" / 11" Cooking Surface<br>Non-Stick Coating <br>Made of Carbon Steel<br>Bakelite Handle<br>1.2mm Thickness|||Other Asian Products|product2
Natural Wok with Wood Handle 12" / 14"|Asian|||WIMU-52007<br>WPAN-10018|Available in 2 Sizes:  12" / 14" Cooking Surface<br>Natural Finish <br>Made of Carbon Steel<br>Wood Handle<br>1.2mm Thickness (12") & 1.5mm Thickness (14")|||Other Asian Products|product3
3 Piece Bamboo Cooking Tools Set |Asian|||WPAN-10011|Set Includes:  Scoop, Spoon & Spatula<br>Made of Bamboo|||Other Asian Products|product4
Bamboo Cooking Chopsticks  13"|Asian|||WPAN-10012|Pack of 4 Pairs<br>13"<br>Made of Bamboo|||Other Asian Products|product5
12 Pack Bamboo Chopsticks 10.5"|Asian|||WPAN-10013|Pack of 12 Pairs<br>10.5"<br>Made of Bamboo|||Other Asian Products|product6
Asian Bamboo Steamer 10" |Asian|||WPAN-10015|10" Steaming Surface<br>Made of Bamboo<br>2 Layers<br>Comes in Gift Box|||Other Asian Products|product7
Non-Stick Wok with Wood Handle 14"|Asian|||WPAN-10019|14" Cooking Surface<br>Non-Stick Coating<br>Made of Carbon Steel<br>Wood Handle<br>1.5mm Thickness|||Other Asian Products|product8
Round Wok with Side Handles 14" |Asian|||WPAN-10021|14" Cooking Surface<br>Non-Coated<br>Made of Carbon Steel<br>Metal Side Handles<br>1.5mm Thickness|||Other Asian Products|product9
7 Piece Asian Gift Set with 14" Wok |Asian|||WPAN-10022|Set Includes:<br>14" Natural Carbon Steel Wok with Bakelite Handles & Glass Lid  <br>Half Moon Tray<br>Deep Fry Basket<br>Bamboo Spoon, Fork & Tong|||Other Asian Products|product10
7 Piece Asian Gift Set with 12" Non-Stick Wok|Asian|||wPAN-10023|Set Includes: <br>12" Non-Stick Carbon Steel Wok with Wood Handle & Lid<br>Half Moon Tray<br>2 Soy Sauce Pots<br>12" Bamboo Spoon/Paddle<br>12" Bamboo Tong|||Other Asian Products|product11
7 Piece Asian Gift Set with 14" Non-Stick Wok|Asian|||wPAN-10034T|Set Includes:<br>14" Non-Stick Carbon Steel Wok with Wood Handles<br>Half Moon Rack<br>13" Cooking Chopsticks<br>12" Bamboo Food Tongs<br>12" Cooking Spoon/Paddle<br>12" Cooking Solid Turner<br>12 Cooking Spatula"|||Other Asian Products|product12
5 Piece Tempura Asian Gift Set with 14" Natural Aluminized Wok|Asian|||wPAN-10041|Set Includes:<br>14" Natural Aluminized Wok with Wood Handles<br>Half Moon Tray<br>12" Food Tongs<br>12" Bamboo Spoon/Paddle<br>12" Bamboo Spatula|||Other Asian Products|product13
Non-Stick Cast Aluminum Caldero with Black Ribbon  24cm / 30cm|Calderos |||CHI-00019<br>CHI-00022|Available in 2 Sizes: 24cm / 30cm<br>Non-Stick Coating <br>Made of Cast Aluminum <br>2.5mm Thickness<br>Black Ribbon|||Other Calderos|product14
Aluminum Caldero with Orange Silicone Rim & Glass Lid 24cm / 30cm|Calderos |||CHI-00035O<br>CHI-00039O|Available in 2 Sizes: 24cm / 30cm<br>Non-Stick Coating<br>Made of Aluminum <br>Glass Lid with Steam Vent<br>2.5mm Thickness<br>Orange with Silicone Rim |||Other Calderos|product15
3 Piece Aluminum Non-Stick Caldero Set in Red  20cm / 24cm / 30cm |Calderos |||CHI-80682W|Set Includes: 20cm, 24cm & 30cm<br>Non-Stick Coating <br>Made of Aluminum <br>Glass Lid with Steam Vent<br>2.5mm Thickness<br>Red|||Other Calderos|product16
3 Piece Aluminum Caldero Set in Orange  20cm / 24cm / 30cm |Calderos |||CHI-80683W|Set Includes: 20cm, 24cm & 30cm<br>Non-Stick Coating <br>Made of Aluminum <br>2.5mm Thickness<br>Orange|||Other Calderos|product17
Evolution Non-Stick Cast Aluminum Caldero  3.7QT / 6.9QT|Calderos |||EVO-10024<br>EVO-10030|Available in 2 Sizes:  3.7QT / 6.9QT<br>Non-Stick Coating<br>Made of Cast Aluminum |||Other Calderos|product18
Cast Aluminum Natural Caldero  2QT / 2.6QT / 3.7Qt / 4.8QT / 6.9QT / 11.6QT / 17.9QT / 26.8QT|Calderos |||GAU-80502<br>GAU-80503<br>GAU-80504W<br>GAU-80505M<br>GAU-80506W<br>GAU-80507T<br>GAU-80508<br>GAU-80509|Available in 8 Sizes:<br>2QT / 2.6QT / 3.7Qt / 4.8QT / 6.9QT / 11.6QT / 17.9QT / 26.8QT<br>Made of Cast Aluminum |||Other Calderos|product19
